lat,lon,flood_heig,elevation,precipitat,distance_to_river_deg,distance_to_river_m
14.59180488,121.0842644,0,10.5098218918,11.0,0.0014460857053444334,160.51551329323212
14.59466354,121.1155723,0,11.1901655197,13.0,0.016450162339730828,1825.9680197101218
14.44946124,120.9439163,0,6.44175100327,6.0,0.0027561566939479803,305.9333930282258
14.46614089,121.0344194,0,27.0606937408,8.0,0.0009609064710468262,106.6606182861977
14.75216092,120.952374,0,6.69640541077,11.0,0.05376199045376116,5967.580940367489
14.67215993,120.9683785,0,8.35380554199,9.0,0.002266407097006104,251.57118776767754
14.36825074,121.054826,0,10.5946702957,11.0,0.03244965720786069,3601.9119500725365
14.57872145,121.1216673,0,12.2879905701,14.0,0.021036155181312573,2335.0132251256955
14.64112816,121.0732883,0,58.6114044189,10.0,0.00010207499953639054,11.330324948539351
14.6199023,121.121044,0,13.4790678024,14.0,0.01617810127425138,1795.769241441903
14.66103754,120.9748046,0,16.0145339966,9.0,0.0015258109252436595,169.36501270204622
14.55389717,121.0054628,0,6.97448205948,7.0,0.0022807356819417404,253.1616606955332
14.63653547,121.0132089,0,15.1381034851,8.0,0.0009613330436479836,106.70796784492619
14.66414878,121.1078797,0,17.1332168579,14.0,0.009345490474147525,1037.3494426303753
14.67305512,121.0250527,0,33.3223114014,9.0,0.00017446021277799843,19.365083618357826
14.43034161,121.013403,0,35.4899864197,8.0,0.002388222168082547,265.09266065716275
14.68285158,121.0333626,0,43.4187049866,10.0,0.00047685311894625894,52.93069620303474
14.68297613,121.0332982,0,43.6540641785,10.0,0.0003771828163297105,41.867292612597865
14.70503963,121.0782681,0,69.3835906982,14.0,0.007668839616975393,851.2411974842686
14.70948522,121.0474565,0,43.3300704956,12.0,0.00981506224047357,1089.471908692566
14.60930258,120.9872447,0,9.08021640778,8.0,0.005377641778545429,596.9182374185426
14.62488259,121.00619,0,15.9592218399,8.0,0.007491187830116088,831.5218491428857
14.70502925,121.0782574,0,69.3835906982,14.0,0.007656720350286637,849.8959588818167
14.58247916,120.984761,0,10.0827713013,8.0,0.003702527568569241,410.98056011118575
14.58007024,120.987867,0,9.65927791595,8.0,0.005792781840503147,642.9987842958493
14.75267967,120.9491017,0,6.00665044785,11.0,0.05301143435700032,5884.269213627035
14.75255517,120.9521809,0,6.80469942093,11.0,0.054162815533379934,6012.072524205173
14.75257499,120.9505554,0,6.43904018402,11.0,0.053534727598220935,5942.3547634025235
14.67108622,121.1064202,0,18.4652366638,14.0,0.008005084577850242,888.5643881413769
14.59447665,121.0223495,0,9.85855484009,8.0,0.003249527618357862,360.6975656377227
14.68290017,120.937559,0,6.48295354843,9.0,0.0011112735500001742,123.35136405001933
14.62413963,120.98696,0,6.80776309967,8.0,0.004484628639799855,497.7937790177839
14.44385605,120.924878,0,6.8370013237,6.0,0.0021411167652618654,237.66396094406704
14.57516147,121.0926206,0,7.53905963898,11.0,0.0011765087976308194,130.59247653702096
14.52596257,121.0744821,0,5.98971939087,9.0,0.00027564950058847593,30.59709456532083
14.52637021,121.0745116,0,5.98971939087,9.0,0.00047564044263868134,52.79608913289363
14.61932613,120.9818481,0,6.37691402435,8.0,0.003003662838178546,333.4065750378186
14.62183843,120.9820627,0,6.28364562988,8.0,0.0008718666621962125,96.77719950377958
14.61069376,120.9866117,0,8.88408088684,8.0,0.006095707039676444,676.6234814040853
14.57624612,121.0426057,0,21.0801792145,8.0,0.0013956531089038553,154.91749508832794
14.72022664,121.1278858,0,16.1666870117,16.0,0.03662324410450347,4065.1800955998847
14.72391033,121.1347576,0,18.7776107788,16.0,0.04438977258091565,4927.264756481637
14.57812855,121.107633,0,8.47959518433,12.0,0.007307193288981817,811.0984550769816
14.58912432,120.9823738,0,9.29695320129,8.0,0.0031900643166608207,354.0971391493511
14.61655425,121.1198236,0,13.4585037231,14.0,0.01569225153770534,1741.8399206852928
14.58969798,120.9816121,0,9.31884765625,8.0,0.0034033474225254262,377.7715639003223
14.61102338,120.9901683,0,7.46335220337,8.0,0.004555590472418869,505.6705424384944
14.62079904,121.0998996,0,14.3759317398,12.0,0.00031887222055654746,35.39481648177677
14.62083018,121.0998675,0,14.3759317398,12.0,0.00035605778153380334,39.52241375025217
14.80635817,120.9392879,0,0.0,6.0,0.10266139783251758,11395.415159409451
14.70418164,121.0693686,0,58.3898010254,13.0,0.006324062220091872,701.9709064301978
14.61517329,121.1154006,0,11.8631067276,13.0,0.012246543117309916,1359.3662860214006
14.57645416,121.1057994,0,7.80369377136,12.0,0.005027076469033765,558.0054880627479
14.70469458,121.0711764,0,60.3774261475,13.0,0.007446379354716709,826.5481083735547
14.70504741,121.0702537,0,58.4592170715,13.0,0.007409359971958119,822.4389568873512
